Nel mezzo del cammin di nostra vita	  2 6 8 10
mi ritrovai per una selva oscura,	  4 8 10
ché la diritta via era smarrita.	  4 6 7 10
Ahi quanto a dir qual era è cosa dura	  2 4 6 8 10
esta selva selvaggia e aspra e forte	  1 3 6 8 10
che nel pensier rinova la paura!	  4 6 10
Tant'è amara che poco è più morte;	  2 4 7 9 10
ma per trattar del ben ch'i' vi trovai,	  4 6 10
dirò de l'altre cose ch'i' v'ho scorte.	  2 4 6 10
Io non so ben ridir com'i' v'intrai,	  3 4 6 8 10
tant'era pien di sonno a quel punto	  2 4 6 10
che la verace via abbandonai.	  4 6 10
Ma poi ch'i' fui al piè d'un colle giunto,	  2 4 6 8 10
là dove terminava quella valle	  2 6 8 10
che m'avea di paura il cor compunto,	  3 6 8 10
guardai in alto, e vidi le sue spalle	  2 4 6 10
vestite già de' raggi del pianeta	  2 4 6 10
che mena dritto altrui per ogne calle.	  2 4 6 8 10
Allor fu la paura un poco queta,	  2 6 8 10
che nel lago del cor m'era durata	  3 6 7 10
la notte ch'i' passai con tanta pieta.	  2 6 8 10
E come quei che con lena affannata,	  2 4 7 10
uscito fuor del pelago a la riva,	  2 4 6 10
si volge a l'acqua perigliosa e guata,	  2 4 8 10
così l'animo mio, ch'ancor fuggiva,	  2 3 6 7 10
si volse a retro a rimirar lo passo	  2 4 8 10
che non lasciò già mai persona viva.	  4 6 8 10
Poi ch'èi posato un poco il corpo lasso,	  1 4 6 8 10
ripresi via per la piaggia diserta,	  2 4 7 10
sì che 'l piè fermo sempre era 'l più basso.	  1 3 4 6 7 10
Ed ecco, quasi al cominciar de l'erta,	  2 4 8 10
una lonza leggera e presta molto,	  3 6 8 10
che di pel macolato era coverta;	  3 6 7 10
e non mi si partia dinanzi al volto,	  2 6 8 10
anzi 'mpediva tanto il mio cammino,	  1 4 6 10
ch'i' fui per ritornar più volte vòlto.	  2 6 8 10
Temp'era dal principio del mattino,	  2 6 10
e 'l sol montava 'n sù con quelle stelle	  2 4 6 8 10
ch'eran con lui quando l'amor divino	  1 4 5 8 10
mosse di prima quelle cose belle;	  1 4 6 8 10
sì ch'a bene sperar m'era cagione	  1 3 6 7 10
di quella fiera a la gaetta pelle	  2 4 8 10
l'ora del tempo e la dolce stagione;	  1 4 7 10
ma non sì che paura non mi desse	  3 6 10
la vista che m'apparve d'un leone.	  2 6 10
Questi parea che contra me venisse	  1 4 8 10
con la test'alta e con rabbiosa fame,	  4 8 10
sì che parea che l'aere ne tremesse.	  1 4 6 10
Ed una lupa, che di tutte brame	  4 8 10
sembiava carca ne la sua magrezza,	  2 4 8 10
e molte genti fé già viver grame,	  2 4 7 8 10
questa mi porse tanto di gravezza	  1 4 6 10
con la paura ch'uscia di sua vista,	  4 6 10
ch'io perdei la speranza de l'altezza.	  3 6 10
E qual è quei che volontieri acquista,	  3 4 8 10
e giugne 'l tempo che perder lo face,	  2 4 7 10
che 'n tutti suoi pensier piange e s'attrista;	  2 4 6 7 10
tal mi fece la bestia sanza pace,	  1 3 6 10
che, venendomi 'ncontro, a poco a poco	  3 6 8 10
mi ripigneva là dove 'l sol tace.	  4 6 9 10
Mentre ch'i' rovinava in basso loco,	  1 6 8 10
dinanzi a li occhi mi si fu offerto	  2 4 8 10
chi per lungo silenzio parea fioco.	  1 3 6 9 10
Quando vidi costui nel gran diserto,	  1 3 6 8 10
"miserere di me", gridai a lui,	  3 6 8 10
"qual che tu sii, od ombra od omo certo!".	  1 4 6 8 10
Rispuosemi: "Non omo, omo già fui,	  2 6 7 10
e li parenti miei furon lombardi,	  4 6 7 10
mantoani per patrïa ambedui.	  3 6 10
Nacqui sub Iulio, ancor che fosse tardi,	  1 4 6 8 10
e vissi a Roma sotto 'l buono Augusto	  2 4 6 8 10
nel tempo de li dèi falsi e bugiardi.	  2 6 7 10
Poeta fui, e cantai di quel giusto	  2 4 7 10
figliuol d'Anchise che venne di Troia,	  2 4 7 10
poi che 'l superbo Ilïón fu combusto.	  1 4 7 10
Ma tu perché ritorni a tanta noia?	  2 4 6 8 10
perché non sali il dilettoso monte	  2 4 8 10
ch'è principio e cagion di tutta gioia?".	  3 6 8 10
"Or se' tu quel Virgilio e quella Fonte 	1 3 6 8 10
che spandi di parlar sì largo fiume?",	  2 6 8 10
rispuos'io lui con vergognosa fronte.	  3 4 8 10
"O de li altri poeti onore e lume,	  3 6 8 10
vagliami 'l lungo studio e 'l grande amore	  1 4 6 8 10
che m'ha fatto cercar lo tuo volume.	  3 6 10
Tu se' lo mio maestro e 'l mio autore,	  2 6 10
tu se' solo colui da cu' io tolsi	  2 3 6 8 10
lo bello stilo che m'ha fatto onore.	  2 4 8 10
Vedi la bestia per cu' io mi volsi;	  1 4 7 10
aiutami da lei, famoso saggio,	  2 6 8 10
ch'ella mi fa tremar le vene e i polsi".	  1 6 8 10
"A te convien tenere altro vïaggio",	  2 4 6 7 10
rispuose, poi che lagrimar mi vide,	  2 4 8 10
